Lead Score,Name,Address,Phone,Email,Website,Rating,Reviews,Why This Lead,Source
MEDIUM,Central Bank Of India,"706B, Pulachiwadi, Deccan Gymkhana, Pune, 411004, Maharashtra, India",+91-1800221911,,https://www.centralbankofindia.co.in/en,0.0,0,Website but no email found,ddg_maps
MEDIUM,Star Health Club,"Pani Tanki Road, Sarvodaya Nagar, Allahpur, Prayagraj, Uttar Pradesh 211006, India",+91-9369696686,,"https://maps.apple.com/place?q=Star%20Health%20Club&auid=6384304581121894117&address=Pani%20Tanki%20Road,%20Sarvodaya%20Nagar,%20Allahpur,%20Prayagraj,%20Uttar%20Pradesh%20211006,%20India&ll=25.4491391,81.8747709",0.0,0,Website but no email found,ddg_maps
MEDIUM,The Health Hub Gym,"Rajroop Pur, Prayagraj, Uttar Pradesh 211011, India",+91-9307251346,,"https://maps.apple.com/place?q=The%20Health%20Hub%20Gym&auid=10081286365018703902&address=Rajroop%20Pur,%20Prayagraj,%20Uttar%20Pradesh%20211011,%20India&ll=25.427407,81.78577",0.0,0,Website but no email found,ddg_maps
MEDIUM,Spaartan Gym,"Dhoomanganj, Prayagraj, Uttar Pradesh 211011, India",+91-8574454598,,"https://maps.apple.com/place?q=Spaartan%20Gym&auid=11199561573954099459&address=Dhoomanganj,%20Prayagraj,%20Uttar%20Pradesh%20211011,%20India&ll=25.45315,81.78362",0.0,0,Website but no email found,ddg_maps
MEDIUM,Club 100 The Gym,"730, Pyare Mohan Road, Transport Nagar, Prayagraj, Uttar Pradesh 211011, India",+91-9696566777,,"https://maps.apple.com/place?q=Club%20100%20The%20Gym&auid=12323754244540856440&address=730,%20Pyare%20Mohan%20Road,%20Transport%20Nagar,%20Prayagraj,%20Uttar%20Pradesh%20211011,%20India&ll=25.454982,81.764136",0.0,0,Website but no email found,ddg_maps
MEDIUM,Tiger Health Club,"Grand Trunk Road, Awas Vikas Colony Yojna 3, Jhunsi, Prayagraj, 211019, Uttar Pradesh, India",+91-9026532761,,"https://maps.apple.com/place?q=Tiger%20Health%20Club&auid=2107050436411276548&address=Grand%20Trunk%20Road,%20Awas%20Vikas%20Colony%20Yojna%203,%20Jhunsi,%20Prayagraj,%20211019,%20Uttar%20Pradesh,%20India&ll=25.429306,81.912108",0.0,0,Website but no email found,ddg_maps
MEDIUM,Bahubali Health Club,"87/GA, Chak Mundera, Mundera, Prayagraj, 211011, Uttar Pradesh, India",+91-8081835783,,"https://maps.apple.com/place?q=Bahubali%20Health%20Club&auid=15893427249650385795&address=87/GA,%20Chak%20Mundera,%20Mundera,%20Prayagraj,%20211011,%20Uttar%20Pradesh,%20India&ll=25.448294,81.756792",0.0,0,Website but no email found,ddg_maps
MEDIUM,Hadiya Bab Yogaalya,"17, Triveni Bandh Prayag, Pura Padain, Prayagraj, 211020, Uttar Pradesh, India",,,"https://maps.apple.com/place?q=Hadiya%20Bab%20Yogaalya&auid=3786860291649573494&address=17,%20Triveni%20Bandh%20Prayag,%20Pura%20Padain,%20Prayagraj,%20211020,%20Uttar%20Pradesh,%20India&ll=25.437335,81.880382",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Happy Health Club,"ADA Road, Naya Bazar Area, Naini, Prayagraj, 211008, Uttar Pradesh, India",+91-7007337822,,"https://maps.apple.com/place?q=Happy%20Health%20Club&auid=16267173903699427553&address=ADA%20Road,%20Naya%20Bazar%20Area,%20Naini,%20Prayagraj,%20211008,%20Uttar%20Pradesh,%20India&ll=25.386333,81.876161",0.0,0,Website but no email found,ddg_maps
MEDIUM,City Health Club Gym,"22, Shakti Vihar Colony, Thornhill Road, Civil Lines, Prayagraj, 211001, Uttar Pradesh, India",,,"https://maps.apple.com/place?q=City%20Health%20Club%20Gym&auid=3962147820455294554&address=22,%20Shakti%20Vihar%20Colony,%20Thornhill%20Road,%20Civil%20Lines,%20Prayagraj,%20211001,%20Uttar%20Pradesh,%20India&ll=25.459407,81.834864",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Spark Unisex Gym,"14/13/9, Latush Road, Tara Cut Road, Lukarganj, Prayagraj, Uttar Pradesh 211003, India",+91-8299670052,,https://www.facebook.com/p/Spark-Fitness-Store-Gym-100077911915003/,0.0,0,Website but no email found,ddg_maps
MEDIUM,Sehat Ghar Gym Pro,"4/B, Grand Trunk Road, Press Colony, Lukarganj, Prayagraj, 211003, Uttar Pradesh, India",+91-7668818688,,"https://maps.apple.com/place?q=Sehat%20Ghar%20Gym%20Pro&auid=18201557955608416619&address=4/B,%20Grand%20Trunk%20Road,%20Press%20Colony,%20Lukarganj,%20Prayagraj,%20211003,%20Uttar%20Pradesh,%20India&ll=25.440135,81.816954",0.0,0,Website but no email found,ddg_maps
MEDIUM,Smart Health Club Gym,"3B44, Mukta Vihar, Naini, Prayagraj, 211008, Uttar Pradesh, India",,,"https://maps.apple.com/place?q=Smart%20Health%20Club%20Gym&auid=15856587317951709757&address=3B44,%20Mukta%20Vihar,%20Naini,%20Prayagraj,%20211008,%20Uttar%20Pradesh,%20India&ll=25.387669,81.875529",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Optimus Fitness,"Optimus Fitness, Shagun Villa
Lowther Road, George Town
Prayagraj
Uttar Pradesh 211002
India",+91-8840788390,,"https://maps.apple.com/place?q=Optimus%20Fitness&auid=12108019063727811581&address=Shagun%20Villa%0ALowther%20Road,%20George%20Town%0APrayagraj%0AUttar%20Pradesh%20211002%0AIndia&ll=25.4468447,81.8598658",0.0,0,Website but no email found,ddg_maps
