Lead Score,Name,Address,Phone,Email,Website,Rating,Reviews,Why This Lead,Source
MEDIUM,In Shape Gym,"8, Shanthi Road, Bheemanna Garden, Shanti Nagar, Bengaluru, 560027, Karnataka, India",-9632917653,,"https://maps.apple.com/place?q=In%20Shape%20Gym&auid=5937698454578157165&address=8,%20Shanthi%20Road,%20Bheemanna%20Garden,%20Shanti%20Nagar,%20Bengaluru,%20560027,%20Karnataka,%20India&ll=12.960385,77.594664",0,0,Website but no email found,ddg_maps
MEDIUM,2 The Fit Studio,"14, Ganigarpete, Nagartapete, Bengaluru, 560002, Karnataka, India",-9092955864,,"https://maps.apple.com/place?q=2%20The%20Fit%20Studio&auid=6856797322824428995&address=14,%20Ganigarpete,%20Nagartapete,%20Bengaluru,%20560002,%20Karnataka,%20India&ll=12.966935,77.583339",0,0,Website but no email found,ddg_maps
MEDIUM,Mad Hustle Fitness,"Anantha Nagar Road, Ananth Nagar Phase 2, Kammasandra Anekal Taluka, Bengaluru, 560100, Karnataka, India",,,"https://maps.apple.com/place?q=Mad%20Hustle%20Fitness&auid=5421094638267285912&address=Anantha%20Nagar%20Road,%20Ananth%20Nagar%20Phase%202,%20Kammasandra%20Anekal%20Taluka,%20Bengaluru,%20560100,%20Karnataka,%20India&ll=12.835482,77.690905",0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Kalos Fitness Hub,"1044, 2nd Cross Road, Ananth Nagar Phase 2, Kammasandra Anekal Taluka, Bengaluru, 560100, Karnataka, India",-7619463708,,"https://maps.apple.com/place?q=Kalos%20Fitness%20Hub&auid=532411132358780264&address=1044,%202nd%20Cross%20Road,%20Ananth%20Nagar%20Phase%202,%20Kammasandra%20Anekal%20Taluka,%20Bengaluru,%20560100,%20Karnataka,%20India&ll=12.835648,77.691437",0,0,Website but no email found,ddg_maps
MEDIUM,"Cult Tribe Indiranagar - Gyms In Indiranagar, Bangalore","Cult Tribe Indiranagar - Gyms in Indiranagar, Bangalore, 307, 100 Feet Road
Stage 1, Indiranagar
Bengaluru
Karnataka 560038
India",-7026572021,,https://www.cult.fit/cult/center/indiranagar/cult-tribe-indiranagar/7,0,0,Website but no email found,ddg_maps
MEDIUM,Santhosh Gym Fitness Centre,"No.13, 8th Crs, Shivananda Nagar Vijaya Nagar, Bengaluru, Karnataka, India",-9845026993,,"https://maps.apple.com/place?q=Santhosh%20Gym%20Fitness%20Centre&auid=9608007342573986281&address=No.13,%208th%20Crs,%20Shivananda%20Nagar%20Vijaya%20Nagar,%20Bengaluru,%20Karnataka,%20India&ll=12.9683057,77.5269802",0,0,Website but no email found,ddg_maps
MEDIUM,Bangalore Mediation Centre,"46, H Siddiah Road, Annipura, Wilson Garden, Bengaluru, 560027, Karnataka, India",-8022954565,,"https://maps.apple.com/place?q=Bangalore%20Mediation%20Centre&auid=86672340300449453&address=46,%20H%20Siddiah%20Road,%20Annipura,%20Wilson%20Garden,%20Bengaluru,%20560027,%20Karnataka,%20India&ll=12.954343,77.59043",0,0,Website but no email found,ddg_maps
MEDIUM,Skanda Fitness Center,"SA/1, 8th Cross Road, Venkatapura, Koramangala, Bengaluru, Karnataka, 560034, India",-9663007773,,"https://maps.apple.com/place?q=Skanda%20Fitness%20Center&auid=8900396276219276928&address=SA/1,%208th%20Cross%20Road,%20Venkatapura,%20Koramangala,%20Bengaluru,%20Karnataka,%20560034,%20India&ll=12.9207261,77.6332355",0,0,Website but no email found,ddg_maps
MEDIUM,Total Yoga,"24/1, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",-9740980109,,http://www.total-yoga.org,0,0,Website but no email found,ddg_maps
MEDIUM,Acme Fitness,"D Souza Marg, Richmond Town, Bengaluru, 560025, Karnataka, India",-9152323996,,http://www.acmefitness.com,0,0,Website but no email found,ddg_maps
