Lead Score,Name,Address,Phone,Email,Website,Rating,Reviews,Why This Lead,Source
HIGH,Kranos Fitness Hub,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Bheem Fitness,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Iconic Fitness Koramangala,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Karnos Fitness Hub,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Pilates Circle By Cult,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Skanda Fitness Centrer,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Wow Fitness Gym At Isro Layout,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Demon Freak Fitness Gym,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Emerge Private Fitness Studio - Rr Nagar,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
HIGH,Get Sculpt Here,"electronic city,bangalore",,,NONE,0.0,0,NO WEBSITE — needs online presence; No phone found,justdial
MEDIUM,Gym Juice Counter,"40, Infosys Bangalore Campus, Phase 1, Electronic City, Bengaluru, 560100, Karnataka, India",+91-8039119696,,http://infosys.com/,0.0,0,Website but no email found,ddg_maps
MEDIUM,Acme Fitness,"D Souza Marg, Richmond Town, Bengaluru, 560025, Karnataka, India",+91-9152324087,,http://www.acmefitness.com,0.0,0,Website but no email found,ddg_maps
MEDIUM,Athena Gym & Fitness,"45, Millers Road, Kaverappa Layout, Vasant Nagar, Bengaluru, 560001, Karnataka, India",+91-8041235577,,"https://maps.apple.com/place?q=Athena%20Gym%20&%20Fitness&auid=14739516352226392840&address=45,%20Millers%20Road,%20Kaverappa%20Layout,%20Vasant%20Nagar,%20Bengaluru,%20560001,%20Karnataka,%20India&ll=12.99141,77.594056",0.0,0,Website but no email found,ddg_maps
MEDIUM,Total Yoga,"24/1, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",+91-9740980200,,http://www.total-yoga.org,0.0,0,Website but no email found,ddg_maps
MEDIUM,Pro Fitness,"294, B 2nd Street, Bharthi Nagar, Shivaji Nagar, Bengaluru, 560051, Karnataka, India",+91-9886002002,,"https://maps.apple.com/place?q=Pro%20Fitness&auid=7061480409012668635&address=294,%20B%202nd%20Street,%20Bharthi%20Nagar,%20Shivaji%20Nagar,%20Bengaluru,%20560051,%20Karnataka,%20India&ll=12.983992,77.608817",0.0,0,Website but no email found,ddg_maps
MEDIUM,In Shape Gym,"8, Shanthi Road, Bheemanna Garden, Shanti Nagar, Bengaluru, 560027, Karnataka, India",+91-9632917744,,"https://maps.apple.com/place?q=In%20Shape%20Gym&auid=5937698454578157165&address=8,%20Shanthi%20Road,%20Bheemanna%20Garden,%20Shanti%20Nagar,%20Bengaluru,%20560027,%20Karnataka,%20India&ll=12.960385,77.594664",0.0,0,Website but no email found,ddg_maps
MEDIUM,Electronic City Station,"Bengaluru, Karnataka, India",,,"https://maps.apple.com/place?q=Electronic%20City%20Station&auid=10388469564159054046&address=Bengaluru,%20Karnataka,%20India&ll=12.8565921,77.6634434",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Lv Dance Studio,"55/2, Cunningham Road, Vasant Nagar, Bengaluru, 560001, Karnataka, India",,,"https://maps.apple.com/place?q=LV%20Dance%20Studio&auid=5965160863222791520&address=55/2,%20Cunningham%20Road,%20Vasant%20Nagar,%20Bengaluru,%20560001,%20Karnataka,%20India&ll=12.98649,77.595071",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Classical Pilates Centre,"PN35, Kasturba Cross Road, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",,,"https://maps.apple.com/place?q=Classical%20Pilates%20Centre&auid=12851055856094627118&address=PN35,%20Kasturba%20Cross%20Road,%20Shanthala%20Nagar,%20Bengaluru,%20560001,%20Karnataka,%20India&ll=12.973731,77.599052",0.0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Gyms Near Me In Electronic City- Visit Cult Gym In Electronic City For ...,"electronic city,bangalore",,,https://www.cult.fit/cult/center/electronic-city/cult-electronic-city/31,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,The Little Gym Of E-City - The Little Gym India,"electronic city,bangalore",+91-9164645043,,https://thelittlegym.in/the-little-gym-of-e-city/,0.0,0,Website but no email found,ddg_search
MEDIUM,"Best Gym In Electronic City Phase 2, Bangalore - Top Fitness Centers ...","electronic city,bangalore",,,https://www.justdial.com/Bangalore/Gyms-in-Electronic-City-Phase-2/nct-11575244,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"5 Best Gym In Electronic City - Bangalore, Ka - 5Bestincity.Com","electronic city,bangalore",,,https://ind.5bestincity.com/gym-in-electronic-city-bangalore-ka,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Game Theory - India'S Largest Multi-Sport Membership & Academy | Bangalore,"electronic city,bangalore",,,https://www.gametheory.in/,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Lbj Fitness - Best Gym In Electronic City Phase 2 In Bangalore,"electronic city,bangalore",,,https://bangalore.idbf.in/4158662/lbj-fitness-best-gym-in-electronic-city-phase-2,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Top Gym In Electronic City Phase 2, Bangalore - Asklaila","electronic city,bangalore",,,https://www.asklaila.com/search/Bangalore/electronic-city-phase-2/gym/,0.0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Meta.Comhttps://Www.Meta.Com › Ko-Kr › Facebook-App,"electronic city,bangalore",,,https://www.meta.com/ko-kr/facebook-app/,0.0,0,Website but no email found; No phone found,bing
MEDIUM,Klog.Krhttps://Www.Klog.Kr › Info ›페이스북-홈페이지-바로...,"electronic city,bangalore",,,https://www.klog.kr/info/%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%B6%81-%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80-%EB%B0%94%EB%A1%9C%EA%B0%80%EA%B8%B0,0.0,0,Website but no email found; No phone found,bing
LOW,Life Fitness,"25, Sri ML Subbaraju Road, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",+91-9940226789,sales@lifefitnessindia.com,http://www.lifefitnessindia.com,0.0,0,Good online presence,ddg_maps
LOW,The Art Of Living,"68/1, 2nd Cross Road, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",,info@artofliving.org,https://www.artofliving.org/in-en,0.0,0,No phone found,ddg_maps
LOW,Itc Royal Gardenia _Fitness,"Shanthala Nagar, Bengaluru, 560001, Karnataka, India",,events@itchotels.com,https://www.itchotels.in/hotels/bengaluru/itcgardenia.html?utm,0.0,0,No phone found,ddg_maps
LOW,Techno Gym,"1/1C, Srinivas Nagar, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",+91-8041126068,improvements@technogym.com,https://www.technogym.com,0.0,0,Good online presence,ddg_maps
LOW,Cult.Fit,"23, South End Street, Kumara Park East, Seshadripuram, Bengaluru, 560001, Karnataka, India",,hello@cult.fit,https://www.cult.fit,0.0,0,No phone found,ddg_maps
LOW,Fitflix Gym Electronic City Phase I In Bengaluru | Fitpass,"electronic city,bangalore",,care@fitpass.co.in,https://fitpass.co.in/studio/fitflix-gym-electronic-city-phase-i,0.0,0,No phone found,ddg_search
LOW,Gymx Electronic City - Gymx,"electronic city,bangalore",,gymx.bauenad@gmail.com,https://gymx.in/?page_id=528,0.0,0,No phone found,ddg_search
